Item,Quantity,Unit Price (USD),Line Total (USD),Ordered,Purchase Link
830-Tie-Point Breadboard,4,8.99,35.96,FALSE,https://www.amazon.com/dp/B01EV6LJ7G
Solid-Core Hookup Wire,1,15.99,15.99,FALSE,https://www.amazon.com/dp/B07TX6BX47
NPN Transistors (200-Pack),2,6.99,13.98,FALSE,https://www.amazon.com/dp/B07T4ZJ76B
Resistor Assortment,1,9.99,9.99,FALSE,https://www.amazon.com/dp/B08FD1XVL6
LED Pack (3 mm or 5 mm),1,6.99,6.99,FALSE,https://www.amazon.com/dp/B01AUI4VSI
3-Pin SPDT Switches,1,8.99,8.99,FALSE,https://www.amazon.com/dp/B0FNK8B1YV
4.8 V Power Supply,1,13.99,13.99,FALSE,https://www.amazon.com/dp/B07FXVHT32
SM-2 Battery Adapter,1,5.99,5.99,FALSE,https://www.amazon.com/dp/B013L9N7KQ
TOTAL,,,111.88,,
